,Unnamed: 0,params.rnd,Model,Subject System,params.exp_id,params.train_size,Relative Train Size,Pooling,params.experiment-type,Metric,Value
108000,2,11,$\tilde{\Pi}^\mathit{pp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,48,3,partial,multitask,pMAPE,3.7403546568122703
108001,5,21,$\tilde{\Pi}^\mathit{cp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,32,2,complete,multitask,pMAPE,31.637738354019344
108002,6,7,$\tilde{\Pi}^\mathit{pp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,20,2,partial,multitask,pMAPE,10.84758732104771
108003,8,20,$\tilde{\Pi}^\mathit{pp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,partial,multitask,pMAPE,5.079986651858276
108004,9,3,$\tilde{\Pi}^\mathit{pp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,52,2,partial,multitask,pMAPE,45.21882267263559
108005,10,3,$\tilde{\Pi}^\mathit{np}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,24,1.5,no,multitask,pMAPE,7.557855987011693
108006,12,26,$\tilde{\Pi}^\mathit{cp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,24,1.5,complete,multitask,pMAPE,45.87775857154774
108007,13,20,$\tilde{\Pi}^\mathit{pp}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.125,partial,multitask,pMAPE,13.04717449150791
108008,15,28,$\tilde{\Pi}^\mathit{cp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,33,3,complete,multitask,pMAPE,122.82292433187708
108009,16,16,$\tilde{\Pi}^\mathit{pp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,7,0.75,partial,multitask,pMAPE,11.191531118780333
108010,17,26,$\tilde{\Pi}^\mathit{cp}_B$,x265,uncertainty-learning-2024-05-29_22-59-58-full-run,24,1.5,complete,multitask,pMAPE,41.60434979060138
108011,18,12,$\tilde{\Pi}^\mathit{cp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,complete,multitask,pMAPE,7.750981501412594
108012,19,5,$\tilde{\Pi}^\mathit{pp}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,28,1.5,partial,multitask,pMAPE,15.057516463942516
108013,20,19,$\tilde{\Pi}^\mathit{cp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,15,0.5,complete,multitask,pMAPE,48.42329547118033
108014,21,18,$\tilde{\Pi}^\mathit{np}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,no,multitask,pMAPE,9.672731777647774
108015,24,0,$\tilde{\Pi}^\mathit{np}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,no,multitask,pMAPE,89.8159974926769
108016,25,24,$\tilde{\Pi}^\mathit{pp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,1,0.125,partial,multitask,pMAPE,19.90733192789889
108017,28,4,$\tilde{\Pi}^\mathit{pp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,30,3,partial,multitask,pMAPE,8.958725328840318
