,option,env,represented_by_env,kld
0,OPTIMIZE_IN_SELECT,ycsb-2400,ycsb-2400,0.0
1,OPTIMIZE_IN_SELECT,ycsb-2400,smallbank-10,0.0
2,OPTIMIZE_IN_SELECT,ycsb-2400,tpcc-2,0.3478753981173786
3,OPTIMIZE_IN_SELECT,ycsb-2400,smallbank-1,0.0
4,OPTIMIZE_IN_SELECT,ycsb-2400,tpcc-8,0.0
5,OPTIMIZE_IN_SELECT,ycsb-2400,ycsb-600,0.026881307626074786
6,OPTIMIZE_IN_SELECT,ycsb-2400,voter-2,0.0
7,OPTIMIZE_IN_SELECT,ycsb-2400,voter-16,0.0
8,OPTIMIZE_IN_SELECT,smallbank-10,ycsb-2400,0.250431997774775
9,OPTIMIZE_IN_SELECT,smallbank-10,smallbank-10,0.0
10,OPTIMIZE_IN_SELECT,smallbank-10,tpcc-2,0.6104645236606078
11,OPTIMIZE_IN_SELECT,smallbank-10,smallbank-1,0.05959626124671427
12,OPTIMIZE_IN_SELECT,smallbank-10,tpcc-8,0.3205766134822696
13,OPTIMIZE_IN_SELECT,smallbank-10,ycsb-600,0.24356917226715805
14,OPTIMIZE_IN_SELECT,smallbank-10,voter-2,0.0
15,OPTIMIZE_IN_SELECT,smallbank-10,voter-16,0.0524986820503847
16,OPTIMIZE_IN_SELECT,tpcc-2,ycsb-2400,0.5771544106402943
17,OPTIMIZE_IN_SELECT,tpcc-2,smallbank-10,0.19407093750578755
18,OPTIMIZE_IN_SELECT,tpcc-2,tpcc-2,0.0
19,OPTIMIZE_IN_SELECT,tpcc-2,smallbank-1,0.5183868213467755
20,OPTIMIZE_IN_SELECT,tpcc-2,tpcc-8,0.5896194253943853
21,OPTIMIZE_IN_SELECT,tpcc-2,ycsb-600,0.19845430037534084
22,OPTIMIZE_IN_SELECT,tpcc-2,voter-2,0.08842828266676438
23,OPTIMIZE_IN_SELECT,tpcc-2,voter-16,0.0
24,OPTIMIZE_IN_SELECT,smallbank-1,ycsb-2400,0.34712977433962733
25,OPTIMIZE_IN_SELECT,smallbank-1,smallbank-10,0.12349989539906575
26,OPTIMIZE_IN_SELECT,smallbank-1,tpcc-2,1.1782413731565322
27,OPTIMIZE_IN_SELECT,smallbank-1,smallbank-1,0.0
28,OPTIMIZE_IN_SELECT,smallbank-1,tpcc-8,0.43273808996892693
29,OPTIMIZE_IN_SELECT,smallbank-1,ycsb-600,0.5480904194319872
30,OPTIMIZE_IN_SELECT,smallbank-1,voter-2,0.009663829836635288
31,OPTIMIZE_IN_SELECT,smallbank-1,voter-16,0.36862168428252495
32,OPTIMIZE_IN_SELECT,tpcc-8,ycsb-2400,0.0
33,OPTIMIZE_IN_SELECT,tpcc-8,smallbank-10,0.0
34,OPTIMIZE_IN_SELECT,tpcc-8,tpcc-2,0.2772175588708698
35,OPTIMIZE_IN_SELECT,tpcc-8,smallbank-1,0.0
36,OPTIMIZE_IN_SELECT,tpcc-8,tpcc-8,0.0
37,OPTIMIZE_IN_SELECT,tpcc-8,ycsb-600,0.0
38,OPTIMIZE_IN_SELECT,tpcc-8,voter-2,0.0
39,OPTIMIZE_IN_SELECT,tpcc-8,voter-16,0.0
40,OPTIMIZE_IN_SELECT,ycsb-600,ycsb-2400,0.06452922109257572
41,OPTIMIZE_IN_SELECT,ycsb-600,smallbank-10,0.0
42,OPTIMIZE_IN_SELECT,ycsb-600,tpcc-2,0.06006303394466778
43,OPTIMIZE_IN_SELECT,ycsb-600,smallbank-1,0.0
44,OPTIMIZE_IN_SELECT,ycsb-600,tpcc-8,0.0881683046495247
45,OPTIMIZE_IN_SELECT,ycsb-600,ycsb-600,0.0
46,OPTIMIZE_IN_SELECT,ycsb-600,voter-2,0.0
47,OPTIMIZE_IN_SELECT,ycsb-600,voter-16,0.0
48,OPTIMIZE_IN_SELECT,voter-2,ycsb-2400,0.4088020465805385
49,OPTIMIZE_IN_SELECT,voter-2,smallbank-10,0.08491720940700181
50,OPTIMIZE_IN_SELECT,voter-2,tpcc-2,0.7792605301947205
51,OPTIMIZE_IN_SELECT,voter-2,smallbank-1,0.174531426596325
52,OPTIMIZE_IN_SELECT,voter-2,tpcc-8,0.507838789014231
53,OPTIMIZE_IN_SELECT,voter-2,ycsb-600,0.38693290829065724
54,OPTIMIZE_IN_SELECT,voter-2,voter-2,0.0
55,OPTIMIZE_IN_SELECT,voter-2,voter-16,0.17142711010780198
56,OPTIMIZE_IN_SELECT,voter-16,ycsb-2400,0.6837768611221909
57,OPTIMIZE_IN_SELECT,voter-16,smallbank-10,0.17978111183115653
58,OPTIMIZE_IN_SELECT,voter-16,tpcc-2,0.3797824850345684
59,OPTIMIZE_IN_SELECT,voter-16,smallbank-1,0.4855631370191349
60,OPTIMIZE_IN_SELECT,voter-16,tpcc-8,0.701569839129795
61,OPTIMIZE_IN_SELECT,voter-16,ycsb-600,0.35070161826330637
62,OPTIMIZE_IN_SELECT,voter-16,voter-2,0.11102986047482333
63,OPTIMIZE_IN_SELECT,voter-16,voter-16,0.0
64,OPTIMIZE_INSERT_FROM_SELECT,ycsb-2400,ycsb-2400,0.0
65,OPTIMIZE_INSERT_FROM_SELECT,ycsb-2400,smallbank-10,0.0
66,OPTIMIZE_INSERT_FROM_SELECT,ycsb-2400,tpcc-2,0.0
67,OPTIMIZE_INSERT_FROM_SELECT,ycsb-2400,smallbank-1,0.0
68,OPTIMIZE_INSERT_FROM_SELECT,ycsb-2400,tpcc-8,0.0
69,OPTIMIZE_INSERT_FROM_SELECT,ycsb-2400,ycsb-600,0.0
70,OPTIMIZE_INSERT_FROM_SELECT,ycsb-2400,voter-2,0.0
71,OPTIMIZE_INSERT_FROM_SELECT,ycsb-2400,voter-16,0.0
72,OPTIMIZE_INSERT_FROM_SELECT,smallbank-10,ycsb-2400,0.7189246598598925
73,OPTIMIZE_INSERT_FROM_SELECT,smallbank-10,smallbank-10,0.0
74,OPTIMIZE_INSERT_FROM_SELECT,smallbank-10,tpcc-2,0.44610228460091766
75,OPTIMIZE_INSERT_FROM_SELECT,smallbank-10,smallbank-1,0.31332127231495277
76,OPTIMIZE_INSERT_FROM_SELECT,smallbank-10,tpcc-8,0.366812273653223
77,OPTIMIZE_INSERT_FROM_SELECT,smallbank-10,ycsb-600,0.3152846926417298
78,OPTIMIZE_INSERT_FROM_SELECT,smallbank-10,voter-2,0.1573943569531696
79,OPTIMIZE_INSERT_FROM_SELECT,smallbank-10,voter-16,0.0
80,OPTIMIZE_INSERT_FROM_SELECT,tpcc-2,ycsb-2400,0.1269670915095287
81,OPTIMIZE_INSERT_FROM_SELECT,tpcc-2,smallbank-10,0.0689612011965186
82,OPTIMIZE_INSERT_FROM_SELECT,tpcc-2,tpcc-2,0.0
83,OPTIMIZE_INSERT_FROM_SELECT,tpcc-2,smallbank-1,0.0
84,OPTIMIZE_INSERT_FROM_SELECT,tpcc-2,tpcc-8,0.08418681757629505
85,OPTIMIZE_INSERT_FROM_SELECT,tpcc-2,ycsb-600,0.12205814965946281
86,OPTIMIZE_INSERT_FROM_SELECT,tpcc-2,voter-2,0.0
87,OPTIMIZE_INSERT_FROM_SELECT,tpcc-2,voter-16,0.012246957102805968
88,OPTIMIZE_INSERT_FROM_SELECT,smallbank-1,ycsb-2400,0.3515747018837327
89,OPTIMIZE_INSERT_FROM_SELECT,smallbank-1,smallbank-10,0.2694764410975429
90,OPTIMIZE_INSERT_FROM_SELECT,smallbank-1,tpcc-2,0.08731901160761679
91,OPTIMIZE_INSERT_FROM_SELECT,smallbank-1,smallbank-1,0.0
92,OPTIMIZE_INSERT_FROM_SELECT,smallbank-1,tpcc-8,0.32234465984313365
93,OPTIMIZE_INSERT_FROM_SELECT,smallbank-1,ycsb-600,0.30032054958954635
94,OPTIMIZE_INSERT_FROM_SELECT,smallbank-1,voter-2,0.2556900066423374
95,OPTIMIZE_INSERT_FROM_SELECT,smallbank-1,voter-16,0.17069920762837104
96,OPTIMIZE_INSERT_FROM_SELECT,tpcc-8,ycsb-2400,0.05748642265728289
97,OPTIMIZE_INSERT_FROM_SELECT,tpcc-8,smallbank-10,0.0
98,OPTIMIZE_INSERT_FROM_SELECT,tpcc-8,tpcc-2,0.0
99,OPTIMIZE_INSERT_FROM_SELECT,tpcc-8,smallbank-1,0.0
100,OPTIMIZE_INSERT_FROM_SELECT,tpcc-8,tpcc-8,0.0
101,OPTIMIZE_INSERT_FROM_SELECT,tpcc-8,ycsb-600,0.0
102,OPTIMIZE_INSERT_FROM_SELECT,tpcc-8,voter-2,0.0
103,OPTIMIZE_INSERT_FROM_SELECT,tpcc-8,voter-16,0.0
104,OPTIMIZE_INSERT_FROM_SELECT,ycsb-600,ycsb-2400,0.09207807583084246
105,OPTIMIZE_INSERT_FROM_SELECT,ycsb-600,smallbank-10,0.0
106,OPTIMIZE_INSERT_FROM_SELECT,ycsb-600,tpcc-2,0.0
107,OPTIMIZE_INSERT_FROM_SELECT,ycsb-600,smallbank-1,0.0
108,OPTIMIZE_INSERT_FROM_SELECT,ycsb-600,tpcc-8,0.0
109,OPTIMIZE_INSERT_FROM_SELECT,ycsb-600,ycsb-600,0.0
110,OPTIMIZE_INSERT_FROM_SELECT,ycsb-600,voter-2,0.0
111,OPTIMIZE_INSERT_FROM_SELECT,ycsb-600,voter-16,0.0
112,OPTIMIZE_INSERT_FROM_SELECT,voter-2,ycsb-2400,0.40341006826691883
113,OPTIMIZE_INSERT_FROM_SELECT,voter-2,smallbank-10,0.0
114,OPTIMIZE_INSERT_FROM_SELECT,voter-2,tpcc-2,0.14518476404537545
115,OPTIMIZE_INSERT_FROM_SELECT,voter-2,smallbank-1,0.08062732756664044
116,OPTIMIZE_INSERT_FROM_SELECT,voter-2,tpcc-8,0.17804925179288134
117,OPTIMIZE_INSERT_FROM_SELECT,voter-2,ycsb-600,0.14267392856134106
118,OPTIMIZE_INSERT_FROM_SELECT,voter-2,voter-2,0.0
119,OPTIMIZE_INSERT_FROM_SELECT,voter-2,voter-16,0.0
120,OPTIMIZE_INSERT_FROM_SELECT,voter-16,ycsb-2400,0.6606742402818915
121,OPTIMIZE_INSERT_FROM_SELECT,voter-16,smallbank-10,0.04212771423563849
122,OPTIMIZE_INSERT_FROM_SELECT,voter-16,tpcc-2,0.4017617362142405
123,OPTIMIZE_INSERT_FROM_SELECT,voter-16,smallbank-1,0.30762208429513305
124,OPTIMIZE_INSERT_FROM_SELECT,voter-16,tpcc-8,0.404816528393088
125,OPTIMIZE_INSERT_FROM_SELECT,voter-16,ycsb-600,0.35959450612979105
126,OPTIMIZE_INSERT_FROM_SELECT,voter-16,voter-2,0.16116530320583516
127,OPTIMIZE_INSERT_FROM_SELECT,voter-16,voter-16,0.0
128,OPTIMIZE_TWO_EQUALS,ycsb-2400,ycsb-2400,0.0
129,OPTIMIZE_TWO_EQUALS,ycsb-2400,smallbank-10,0.0
130,OPTIMIZE_TWO_EQUALS,ycsb-2400,tpcc-2,0.011589498536122903
131,OPTIMIZE_TWO_EQUALS,ycsb-2400,smallbank-1,0.020635240588227365
