,option,env,represented_by_env,kld
0,rtQuality,akiyo_cif.y4m,akiyo_cif.y4m,0.0
1,rtQuality,akiyo_cif.y4m,bowing_cif.y4m,0.0
2,rtQuality,akiyo_cif.y4m,bridge_close_cif.y4m,0.09709483728662986
3,rtQuality,akiyo_cif.y4m,bridge_far_cif.y4m,1.8765184263658055
4,rtQuality,akiyo_cif.y4m,bus_cif.y4m,0.5742199925382006
5,rtQuality,akiyo_cif.y4m,city_cif.y4m,0.1992832067824461
6,rtQuality,akiyo_cif.y4m,coastguard_cif.y4m,0.5535159644455723
7,rtQuality,akiyo_cif.y4m,container_cif.y4m,0.14865703951011947
8,rtQuality,akiyo_cif.y4m,crew_cif.y4m,0.37506289210199084
9,rtQuality,akiyo_cif.y4m,deadline_cif.y4m,0.16436007028682445
10,rtQuality,akiyo_cif.y4m,flower_cif.y4m,1.3274235569068193
11,rtQuality,akiyo_cif.y4m,football_cif.y4m,0.48379282891917913
12,rtQuality,akiyo_cif.y4m,foreman_cif.y4m,0.21017330765616737
13,rtQuality,akiyo_cif.y4m,hall_monitor_cif.y4m,0.0
14,rtQuality,akiyo_cif.y4m,sintel_trailer_2k_480p24.y4m,0.260554715965962
15,rtQuality,akiyo_cif.y4m,harbour_cif.y4m,1.2337983527063427
16,rtQuality,akiyo_cif.y4m,highway_cif.y4m,1.0526532807970903
17,rtQuality,akiyo_cif.y4m,husky_cif.y4m,0.9123197684151438
18,rtQuality,akiyo_cif.y4m,ice_cif.y4m,0.3075092089871471
19,rtQuality,akiyo_cif.y4m,mad900_cif.y4m,0.08503789219297524
20,rtQuality,akiyo_cif.y4m,mobile_cif.y4m,0.2643553771816418
21,rtQuality,akiyo_cif.y4m,mother_daughter_cif.y4m,0.09299300910397165
22,rtQuality,akiyo_cif.y4m,news_cif.y4m,0.07596941501397322
23,rtQuality,akiyo_cif.y4m,pamphlet_cif.y4m,0.09238088432607221
24,rtQuality,akiyo_cif.y4m,paris_cif.y4m,0.6254819688423067
25,rtQuality,akiyo_cif.y4m,sign_irene_cif.y4m,0.6132140020852112
26,rtQuality,akiyo_cif.y4m,silent_cif.y4m,0.16848344761753967
27,rtQuality,akiyo_cif.y4m,soccer_cif.y4m,0.054882884564480226
28,rtQuality,akiyo_cif.y4m,students_cif.y4m,0.4081509844203005
29,rtQuality,akiyo_cif.y4m,tempete_cif.y4m,0.6166587677178837
30,rtQuality,akiyo_cif.y4m,waterfall_cif.y4m,0.6220154201171457
31,rtQuality,akiyo_cif.y4m,blue_sky_1080p25.y4m,0.7015445797976275
32,rtQuality,akiyo_cif.y4m,old_town_cross_1080p50.y4m,0.9576619877428149
33,rtQuality,akiyo_cif.y4m,sintel_trailer_2k_1080p24.y4m,0.29084507147244115
34,rtQuality,akiyo_cif.y4m,crowd_run_1080p50.y4m,0.38463850477144146
35,rtQuality,bowing_cif.y4m,akiyo_cif.y4m,0.13548600202594022
36,rtQuality,bowing_cif.y4m,bowing_cif.y4m,0.0
37,rtQuality,bowing_cif.y4m,bridge_close_cif.y4m,0.12499000748584231
38,rtQuality,bowing_cif.y4m,bridge_far_cif.y4m,2.1023969070308617
39,rtQuality,bowing_cif.y4m,bus_cif.y4m,0.6863420133539886
40,rtQuality,bowing_cif.y4m,city_cif.y4m,0.27515189138371143
41,rtQuality,bowing_cif.y4m,coastguard_cif.y4m,0.6523336874777896
42,rtQuality,bowing_cif.y4m,container_cif.y4m,0.244403440518481
43,rtQuality,bowing_cif.y4m,crew_cif.y4m,0.516998243643264
44,rtQuality,bowing_cif.y4m,deadline_cif.y4m,0.3080364512987037
45,rtQuality,bowing_cif.y4m,flower_cif.y4m,1.4917924560057316
46,rtQuality,bowing_cif.y4m,football_cif.y4m,0.5813117561352785
47,rtQuality,bowing_cif.y4m,foreman_cif.y4m,0.30477453421335193
48,rtQuality,bowing_cif.y4m,hall_monitor_cif.y4m,0.03745947752422895
49,rtQuality,bowing_cif.y4m,sintel_trailer_2k_480p24.y4m,0.3907434846739827
50,rtQuality,bowing_cif.y4m,harbour_cif.y4m,1.4324220342766318
51,rtQuality,bowing_cif.y4m,highway_cif.y4m,1.1687999205386532
