,option,env,represented_by_env,kld
0,tiff,corona,corona,0.0
1,tiff,corona,cranium,0.0
2,tiff,corona,cubus,0.0
3,tiff,corona,flame,0.0
4,tiff,corona,france,0.0
5,tiff,corona,frisco,0.0
6,tiff,corona,jelly,0.01776878442568924
7,tiff,corona,karte,0.0
8,tiff,corona,mandelbrot,0.046833439540085516
9,tiff,corona,strawberry,0.0
10,tiff,corona,village,0.00228529285592027
11,tiff,cranium,corona,0.47389278217640696
12,tiff,cranium,cranium,0.0
13,tiff,cranium,cubus,0.35343316978904665
14,tiff,cranium,flame,0.2653572388391051
15,tiff,cranium,france,0.2866604826428474
16,tiff,cranium,frisco,0.555234640815175
17,tiff,cranium,jelly,0.5545079034379589
18,tiff,cranium,karte,0.2723534940717864
19,tiff,cranium,mandelbrot,0.5494696586286966
20,tiff,cranium,strawberry,0.37509516111270874
21,tiff,cranium,village,0.5594666862818521
22,tiff,cubus,corona,0.07604470124316058
23,tiff,cubus,cranium,0.0
24,tiff,cubus,cubus,0.0
25,tiff,cubus,flame,0.003582457199649411
26,tiff,cubus,france,0.0
27,tiff,cubus,frisco,0.08964427467484928
28,tiff,cubus,jelly,0.07486772899517655
29,tiff,cubus,karte,0.0
30,tiff,cubus,mandelbrot,0.12676402493494446
31,tiff,cubus,strawberry,0.035467776241015846
32,tiff,cubus,village,0.09787022219716582
33,tiff,flame,corona,0.11205970802205065
34,tiff,flame,cranium,0.0
35,tiff,flame,cubus,0.02985268233846897
36,tiff,flame,flame,0.0
37,tiff,flame,france,0.0
38,tiff,flame,frisco,0.15997947676654145
39,tiff,flame,jelly,0.1536764025809606
40,tiff,flame,karte,0.0
41,tiff,flame,mandelbrot,0.13359237388110787
42,tiff,flame,strawberry,0.08520402757578228
43,tiff,flame,village,0.14335827596786682
44,tiff,france,corona,0.38558300546257884
45,tiff,france,cranium,0.04403577511686605
46,tiff,france,cubus,0.23220876070916197
47,tiff,france,flame,0.3167110881529699
48,tiff,france,france,0.0
49,tiff,france,frisco,0.22312302210121232
50,tiff,france,jelly,0.45305669085792316
51,tiff,france,karte,0.16301895770978422
52,tiff,france,mandelbrot,0.41966469613890633
53,tiff,france,strawberry,0.34478343033267056
54,tiff,france,village,0.3270346846241623
55,tiff,frisco,corona,0.029130028488087358
56,tiff,frisco,cranium,0.0
57,tiff,frisco,cubus,0.0
58,tiff,frisco,flame,0.011570322021407071
59,tiff,frisco,france,0.0
60,tiff,frisco,frisco,0.0
61,tiff,frisco,jelly,0.10025527732002688
62,tiff,frisco,karte,0.0
63,tiff,frisco,mandelbrot,0.08866425016965183
64,tiff,frisco,strawberry,0.0
65,tiff,frisco,village,0.025880205594795015
66,tiff,jelly,corona,0.0
67,tiff,jelly,cranium,0.0
68,tiff,jelly,cubus,0.0
69,tiff,jelly,flame,0.0
70,tiff,jelly,france,0.0
71,tiff,jelly,frisco,0.010238044532234394
72,tiff,jelly,jelly,0.0
73,tiff,jelly,karte,0.0
74,tiff,jelly,mandelbrot,0.0
75,tiff,jelly,strawberry,0.0
76,tiff,jelly,village,0.008233636622786155
77,tiff,karte,corona,0.11588675955374603
78,tiff,karte,cranium,0.0
79,tiff,karte,cubus,0.038637039796997716
80,tiff,karte,flame,0.08141418024156749
81,tiff,karte,france,0.0
82,tiff,karte,frisco,0.16962938605221553
83,tiff,karte,jelly,0.19763242707551568
84,tiff,karte,karte,0.0
85,tiff,karte,mandelbrot,0.19189172703557764
86,tiff,karte,strawberry,0.0823584258716179
87,tiff,karte,village,0.15169950523939263
88,tiff,mandelbrot,corona,0.0
89,tiff,mandelbrot,cranium,0.0
90,tiff,mandelbrot,cubus,0.0
91,tiff,mandelbrot,flame,0.0
92,tiff,mandelbrot,france,0.0
93,tiff,mandelbrot,frisco,0.0
94,tiff,mandelbrot,jelly,0.0
95,tiff,mandelbrot,karte,0.0
96,tiff,mandelbrot,mandelbrot,0.0
97,tiff,mandelbrot,strawberry,0.0
