,option,env,represented_by_env,kld
0,iosCreateImagesetFolders,jpeg-large,jpeg-large,0.0
1,iosCreateImagesetFolders,jpeg-large,jpeg-medium,0.07847245276250635
2,iosCreateImagesetFolders,jpeg-large,jpeg-small,0.08981791330231466
3,iosCreateImagesetFolders,jpeg-large,png-large,0.3113858668717679
4,iosCreateImagesetFolders,jpeg-large,png-medium,0.0
5,iosCreateImagesetFolders,jpeg-large,png-small,0.05868461990692908
6,iosCreateImagesetFolders,jpeg-large,psd-large,0.0
7,iosCreateImagesetFolders,jpeg-large,psd-medium,0.09489586493424289
8,iosCreateImagesetFolders,jpeg-large,psd-small,0.03918184692138983
9,iosCreateImagesetFolders,jpeg-large,svg-large,0.16953437584211006
10,iosCreateImagesetFolders,jpeg-large,svg-medium,0.24267645494909448
11,iosCreateImagesetFolders,jpeg-large,svg-small,0.19560096085685177
12,iosCreateImagesetFolders,jpeg-medium,jpeg-large,0.12615130920161696
13,iosCreateImagesetFolders,jpeg-medium,jpeg-medium,0.0
14,iosCreateImagesetFolders,jpeg-medium,jpeg-small,0.1557757801505023
15,iosCreateImagesetFolders,jpeg-medium,png-large,0.04900928147712283
16,iosCreateImagesetFolders,jpeg-medium,png-medium,0.0
17,iosCreateImagesetFolders,jpeg-medium,png-small,0.0
18,iosCreateImagesetFolders,jpeg-medium,psd-large,0.0
19,iosCreateImagesetFolders,jpeg-medium,psd-medium,0.0
20,iosCreateImagesetFolders,jpeg-medium,psd-small,0.07373102959399337
21,iosCreateImagesetFolders,jpeg-medium,svg-large,0.1745818767190859
22,iosCreateImagesetFolders,jpeg-medium,svg-medium,0.09213202280162539
23,iosCreateImagesetFolders,jpeg-medium,svg-small,0.4685295195473326
24,iosCreateImagesetFolders,jpeg-small,jpeg-large,0.0
25,iosCreateImagesetFolders,jpeg-small,jpeg-medium,0.0
26,iosCreateImagesetFolders,jpeg-small,jpeg-small,0.0
27,iosCreateImagesetFolders,jpeg-small,png-large,0.026991421875066042
28,iosCreateImagesetFolders,jpeg-small,png-medium,0.0
29,iosCreateImagesetFolders,jpeg-small,png-small,0.0
30,iosCreateImagesetFolders,jpeg-small,psd-large,0.0
31,iosCreateImagesetFolders,jpeg-small,psd-medium,0.0
32,iosCreateImagesetFolders,jpeg-small,psd-small,0.0
33,iosCreateImagesetFolders,jpeg-small,svg-large,0.027841221560025366
34,iosCreateImagesetFolders,jpeg-small,svg-medium,0.02951782412974384
35,iosCreateImagesetFolders,jpeg-small,svg-small,0.13906408831181055
36,iosCreateImagesetFolders,png-large,jpeg-large,0.5740002833343788
37,iosCreateImagesetFolders,png-large,jpeg-medium,0.24519164363532006
38,iosCreateImagesetFolders,png-large,jpeg-small,0.49141128251102556
39,iosCreateImagesetFolders,png-large,png-large,0.0
40,iosCreateImagesetFolders,png-large,png-medium,0.08307061593735272
41,iosCreateImagesetFolders,png-large,png-small,0.14740839124423435
42,iosCreateImagesetFolders,png-large,psd-large,0.0
43,iosCreateImagesetFolders,png-large,psd-medium,0.0730730450860885
44,iosCreateImagesetFolders,png-large,psd-small,0.35160875417403215
45,iosCreateImagesetFolders,png-large,svg-large,0.4852082362468711
46,iosCreateImagesetFolders,png-large,svg-medium,0.1816621438969597
47,iosCreateImagesetFolders,png-large,svg-small,1.0762858998239213
48,iosCreateImagesetFolders,png-medium,jpeg-large,0.158701100053173
49,iosCreateImagesetFolders,png-medium,jpeg-medium,0.07002522926875422
50,iosCreateImagesetFolders,png-medium,jpeg-small,0.17371813919964332
51,iosCreateImagesetFolders,png-medium,png-large,0.10209435456335773
52,iosCreateImagesetFolders,png-medium,png-medium,0.0
53,iosCreateImagesetFolders,png-medium,png-small,0.05471901459238462
54,iosCreateImagesetFolders,png-medium,psd-large,0.0
55,iosCreateImagesetFolders,png-medium,psd-medium,0.01855552684542881
56,iosCreateImagesetFolders,png-medium,psd-small,0.11503314830434822
57,iosCreateImagesetFolders,png-medium,svg-large,0.1936522136603954
58,iosCreateImagesetFolders,png-medium,svg-medium,0.13998881180716236
59,iosCreateImagesetFolders,png-medium,svg-small,0.5415773461190795
60,iosCreateImagesetFolders,png-small,jpeg-large,0.20326946382329933
61,iosCreateImagesetFolders,png-small,jpeg-medium,0.05161402284940765
62,iosCreateImagesetFolders,png-small,jpeg-small,0.1533108911444159
63,iosCreateImagesetFolders,png-small,png-large,0.05488666893512743
64,iosCreateImagesetFolders,png-small,png-medium,0.0
65,iosCreateImagesetFolders,png-small,png-small,0.0
66,iosCreateImagesetFolders,png-small,psd-large,0.0
67,iosCreateImagesetFolders,png-small,psd-medium,0.0
68,iosCreateImagesetFolders,png-small,psd-small,0.12501624910799622
69,iosCreateImagesetFolders,png-small,svg-large,0.19715522122224313
70,iosCreateImagesetFolders,png-small,svg-medium,0.1048025371751835
71,iosCreateImagesetFolders,png-small,svg-small,0.5418362572163259
72,iosCreateImagesetFolders,psd-large,jpeg-large,4.653063485527758
73,iosCreateImagesetFolders,psd-large,jpeg-medium,3.6585364656078534
