,option,env,represented_by_env,kld
0,encryption,ambivert.wav.tar,ambivert.wav.tar,0.0
1,encryption,ambivert.wav.tar,enwik8.tar,1.3012979381213332
2,encryption,ambivert.wav.tar,misc.tar,3.9414571789184287
3,encryption,ambivert.wav.tar,fannie_mae_500k.tar,0.7528187952962299
4,encryption,ambivert.wav.tar,uiq2-8.bin,0.0
5,encryption,ambivert.wav.tar,large.tar,1.478948850991583
6,encryption,ambivert.wav.tar,artificl.tar,3.598469408396199
7,encryption,ambivert.wav.tar,uiq2-4.bin,0.12782909084282074
8,encryption,ambivert.wav.tar,uiq-32.bin,0.27730913909382093
9,encryption,ambivert.wav.tar,vmlinux-5.10.tar,0.18593919370534348
10,encryption,ambivert.wav.tar,silesia.tar,0.40049357670645586
11,encryption,ambivert.wav.tar,deepfield.tar,0.16861640242181744
12,encryption,ambivert.wav.tar,uiq2-16.bin,0.561788653342259
13,encryption,enwik8.tar,ambivert.wav.tar,1.4565932208256753
14,encryption,enwik8.tar,enwik8.tar,0.0
15,encryption,enwik8.tar,misc.tar,1.1922462541789551
16,encryption,enwik8.tar,fannie_mae_500k.tar,0.004506475410371675
17,encryption,enwik8.tar,uiq2-8.bin,0.7912452410932775
18,encryption,enwik8.tar,large.tar,0.0
19,encryption,enwik8.tar,artificl.tar,0.9249565049462676
20,encryption,enwik8.tar,uiq2-4.bin,0.6260226957927093
21,encryption,enwik8.tar,uiq-32.bin,0.549559277613483
22,encryption,enwik8.tar,vmlinux-5.10.tar,0.45115539071605765
23,encryption,enwik8.tar,silesia.tar,0.2568935654031321
24,encryption,enwik8.tar,deepfield.tar,0.40371087255612015
25,encryption,enwik8.tar,uiq2-16.bin,0.051103397498556365
26,encryption,misc.tar,ambivert.wav.tar,3.8642331971685175
27,encryption,misc.tar,enwik8.tar,0.4379655892728191
28,encryption,misc.tar,misc.tar,0.0
29,encryption,misc.tar,fannie_mae_500k.tar,0.8649425347915869
30,encryption,misc.tar,uiq2-8.bin,2.8104428270030555
31,encryption,misc.tar,large.tar,0.07340466275989802
32,encryption,misc.tar,artificl.tar,0.0
33,encryption,misc.tar,uiq2-4.bin,2.4292178796232697
34,encryption,misc.tar,uiq-32.bin,2.145700341767805
35,encryption,misc.tar,vmlinux-5.10.tar,1.9837179523548725
36,encryption,misc.tar,silesia.tar,1.579008638097774
37,encryption,misc.tar,deepfield.tar,1.9211891205130556
38,encryption,misc.tar,uiq2-16.bin,0.9990968245834746
39,encryption,fannie_mae_500k.tar,ambivert.wav.tar,1.0531099928914869
40,encryption,fannie_mae_500k.tar,enwik8.tar,0.12304128738638545
41,encryption,fannie_mae_500k.tar,misc.tar,1.8717447684693187
42,encryption,fannie_mae_500k.tar,fannie_mae_500k.tar,0.0
43,encryption,fannie_mae_500k.tar,uiq2-8.bin,0.49670733055915123
44,encryption,fannie_mae_500k.tar,large.tar,0.04307835271585997
45,encryption,fannie_mae_500k.tar,artificl.tar,1.5285451674750765
46,encryption,fannie_mae_500k.tar,uiq2-4.bin,0.4269704662600007
47,encryption,fannie_mae_500k.tar,uiq-32.bin,0.38398472388738164
48,encryption,fannie_mae_500k.tar,vmlinux-5.10.tar,0.2404127184642601
49,encryption,fannie_mae_500k.tar,silesia.tar,0.11537828259347926
50,encryption,fannie_mae_500k.tar,deepfield.tar,0.23973692908760075
51,encryption,fannie_mae_500k.tar,uiq2-16.bin,0.014103544107954006
52,encryption,uiq2-8.bin,ambivert.wav.tar,0.1627091292205059
53,encryption,uiq2-8.bin,enwik8.tar,0.9770808903259333
54,encryption,uiq2-8.bin,misc.tar,3.812713264537262
55,encryption,uiq2-8.bin,fannie_mae_500k.tar,0.50243575650871
56,encryption,uiq2-8.bin,uiq2-8.bin,0.0
57,encryption,uiq2-8.bin,large.tar,1.0489941862847874
58,encryption,uiq2-8.bin,artificl.tar,3.416095829825011
59,encryption,uiq2-8.bin,uiq2-4.bin,0.04436788622634483
60,encryption,uiq2-8.bin,uiq-32.bin,0.12792303901464933
61,encryption,uiq2-8.bin,vmlinux-5.10.tar,0.059009948371048136
62,encryption,uiq2-8.bin,silesia.tar,0.15072680330428062
63,encryption,uiq2-8.bin,deepfield.tar,0.006822375089015257
64,encryption,uiq2-8.bin,uiq2-16.bin,0.37983504098657295
65,encryption,large.tar,ambivert.wav.tar,3.1216800615238154
66,encryption,large.tar,enwik8.tar,0.384439822752793
67,encryption,large.tar,misc.tar,2.000309677614501
