,option,env,represented_by_env,kld
0,amp,akiyo_cif.y4m,akiyo_cif.y4m,0.0
1,amp,akiyo_cif.y4m,bowing_cif.y4m,0.4669376586626442
2,amp,akiyo_cif.y4m,bridge_close_cif.y4m,0.3398199590648453
3,amp,akiyo_cif.y4m,bridge_far_cif.y4m,1.1622690977191814
4,amp,akiyo_cif.y4m,bus_cif.y4m,0.295256174470086
5,amp,akiyo_cif.y4m,city_cif.y4m,0.0737982393674787
6,amp,akiyo_cif.y4m,coastguard_cif.y4m,0.13005640282270775
7,amp,akiyo_cif.y4m,container_cif.y4m,0.3618057017250404
8,amp,akiyo_cif.y4m,crew_cif.y4m,0.15467455315883358
9,amp,akiyo_cif.y4m,deadline_cif.y4m,0.0
10,amp,akiyo_cif.y4m,flower_cif.y4m,0.10385875817166298
11,amp,akiyo_cif.y4m,football_cif.y4m,1.1880984811959185
12,amp,akiyo_cif.y4m,foreman_cif.y4m,0.11387687851551187
13,amp,akiyo_cif.y4m,hall_monitor_cif.y4m,0.7515045860291922
14,amp,akiyo_cif.y4m,sintel_trailer_2k_480p24.y4m,0.3658516230046087
15,amp,akiyo_cif.y4m,harbour_cif.y4m,0.24679667763000393
16,amp,akiyo_cif.y4m,highway_cif.y4m,0.1891172767744885
17,amp,akiyo_cif.y4m,husky_cif.y4m,0.3743364299211652
18,amp,akiyo_cif.y4m,ice_cif.y4m,0.23777709173518574
19,amp,akiyo_cif.y4m,mad900_cif.y4m,0.18129313672928377
20,amp,akiyo_cif.y4m,mobile_cif.y4m,0.45227010677496376
21,amp,akiyo_cif.y4m,mother_daughter_cif.y4m,0.27461572258857714
22,amp,akiyo_cif.y4m,news_cif.y4m,0.040360659481038
23,amp,akiyo_cif.y4m,pamphlet_cif.y4m,0.13883699810857675
24,amp,akiyo_cif.y4m,paris_cif.y4m,0.30375307760924036
25,amp,akiyo_cif.y4m,sign_irene_cif.y4m,0.4827047365259052
26,amp,akiyo_cif.y4m,silent_cif.y4m,0.6342383134977945
27,amp,akiyo_cif.y4m,soccer_cif.y4m,0.4872289896128003
28,amp,akiyo_cif.y4m,students_cif.y4m,0.133737335942536
29,amp,akiyo_cif.y4m,tempete_cif.y4m,1.7850544114578317
30,amp,akiyo_cif.y4m,waterfall_cif.y4m,0.11400617136983456
31,amp,akiyo_cif.y4m,blue_sky_1080p25.y4m,1.4102738252761915
32,amp,akiyo_cif.y4m,old_town_cross_1080p50.y4m,0.25880677686426784
33,amp,akiyo_cif.y4m,sintel_trailer_2k_1080p24.y4m,0.49816896882609946
34,amp,akiyo_cif.y4m,crowd_run_1080p50.y4m,0.22042923059618333
35,amp,bowing_cif.y4m,akiyo_cif.y4m,0.2220048334539162
36,amp,bowing_cif.y4m,bowing_cif.y4m,0.0
37,amp,bowing_cif.y4m,bridge_close_cif.y4m,0.9980025458616879
38,amp,bowing_cif.y4m,bridge_far_cif.y4m,2.1444080516935156
39,amp,bowing_cif.y4m,bus_cif.y4m,0.0
40,amp,bowing_cif.y4m,city_cif.y4m,0.15941218966854503
41,amp,bowing_cif.y4m,coastguard_cif.y4m,0.13841478123207335
42,amp,bowing_cif.y4m,container_cif.y4m,0.0
43,amp,bowing_cif.y4m,crew_cif.y4m,0.08607121950160265
44,amp,bowing_cif.y4m,deadline_cif.y4m,0.21617792869385857
45,amp,bowing_cif.y4m,flower_cif.y4m,0.1856163318569432
46,amp,bowing_cif.y4m,football_cif.y4m,0.2894260288273843
47,amp,bowing_cif.y4m,foreman_cif.y4m,0.39726441235216886
48,amp,bowing_cif.y4m,hall_monitor_cif.y4m,1.6006357776016287
49,amp,bowing_cif.y4m,sintel_trailer_2k_480p24.y4m,0.9887370544625169
50,amp,bowing_cif.y4m,harbour_cif.y4m,0.04699615267692562
51,amp,bowing_cif.y4m,highway_cif.y4m,0.08426533730757023
52,amp,bowing_cif.y4m,husky_cif.y4m,0.021623276856872452
53,amp,bowing_cif.y4m,ice_cif.y4m,0.5215730059771393
54,amp,bowing_cif.y4m,mad900_cif.y4m,0.6282081516106496
55,amp,bowing_cif.y4m,mobile_cif.y4m,0.0
56,amp,bowing_cif.y4m,mother_daughter_cif.y4m,0.11044619260111149
57,amp,bowing_cif.y4m,news_cif.y4m,0.1908775378910648
58,amp,bowing_cif.y4m,pamphlet_cif.y4m,0.54635439336668
59,amp,bowing_cif.y4m,paris_cif.y4m,0.15346005858820982
60,amp,bowing_cif.y4m,sign_irene_cif.y4m,0.061438865101866046
61,amp,bowing_cif.y4m,silent_cif.y4m,0.0
62,amp,bowing_cif.y4m,soccer_cif.y4m,0.07480990685992459
63,amp,bowing_cif.y4m,students_cif.y4m,0.24659829699015753
64,amp,bowing_cif.y4m,tempete_cif.y4m,0.626706405567319
65,amp,bowing_cif.y4m,waterfall_cif.y4m,0.475362355907014
66,amp,bowing_cif.y4m,blue_sky_1080p25.y4m,2.464512674987612
67,amp,bowing_cif.y4m,old_town_cross_1080p50.y4m,0.6937853601007026
68,amp,bowing_cif.y4m,sintel_trailer_2k_1080p24.y4m,0.0932888351314983
69,amp,bowing_cif.y4m,crowd_run_1080p50.y4m,0.14389274232313878
70,amp,bridge_close_cif.y4m,akiyo_cif.y4m,0.1966789935320212
71,amp,bridge_close_cif.y4m,bowing_cif.y4m,1.2672467904025793
72,amp,bridge_close_cif.y4m,bridge_close_cif.y4m,0.0
73,amp,bridge_close_cif.y4m,bridge_far_cif.y4m,0.4549478053937078
74,amp,bridge_close_cif.y4m,bus_cif.y4m,1.0310479377439103
75,amp,bridge_close_cif.y4m,city_cif.y4m,0.3971913595533747
76,amp,bridge_close_cif.y4m,coastguard_cif.y4m,0.4822830974391125
77,amp,bridge_close_cif.y4m,container_cif.y4m,1.1738135899234667
78,amp,bridge_close_cif.y4m,crew_cif.y4m,0.6792213756200856
79,amp,bridge_close_cif.y4m,deadline_cif.y4m,0.16005643872021502
80,amp,bridge_close_cif.y4m,flower_cif.y4m,0.4101862505546399
81,amp,bridge_close_cif.y4m,football_cif.y4m,2.404725282081347
82,amp,bridge_close_cif.y4m,foreman_cif.y4m,0.16333031303037399
83,amp,bridge_close_cif.y4m,hall_monitor_cif.y4m,0.22455677049125689
84,amp,bridge_close_cif.y4m,sintel_trailer_2k_480p24.y4m,0.07295213517265335
85,amp,bridge_close_cif.y4m,harbour_cif.y4m,0.9743649579707576
86,amp,bridge_close_cif.y4m,highway_cif.y4m,0.7951072013820585
87,amp,bridge_close_cif.y4m,husky_cif.y4m,1.0010076869693365
88,amp,bridge_close_cif.y4m,ice_cif.y4m,0.3244598602378059
89,amp,bridge_close_cif.y4m,mad900_cif.y4m,0.12933043922844423
90,amp,bridge_close_cif.y4m,mobile_cif.y4m,1.3812539244875086
91,amp,bridge_close_cif.y4m,mother_daughter_cif.y4m,0.9029845511030948
92,amp,bridge_close_cif.y4m,news_cif.y4m,0.29759492958607714
93,amp,bridge_close_cif.y4m,pamphlet_cif.y4m,0.15068412418863755
94,amp,bridge_close_cif.y4m,paris_cif.y4m,0.763895510248643
95,amp,bridge_close_cif.y4m,sign_irene_cif.y4m,1.2023055744912612
96,amp,bridge_close_cif.y4m,silent_cif.y4m,1.5538357386473365
97,amp,bridge_close_cif.y4m,soccer_cif.y4m,1.3340635785154669
98,amp,bridge_close_cif.y4m,students_cif.y4m,0.4293667257630955
99,amp,bridge_close_cif.y4m,tempete_cif.y4m,3.0717556440667364
100,amp,bridge_close_cif.y4m,waterfall_cif.y4m,0.09820611810384727
101,amp,bridge_close_cif.y4m,blue_sky_1080p25.y4m,0.6460422365961206
102,amp,bridge_close_cif.y4m,old_town_cross_1080p50.y4m,0.14821415299828183
103,amp,bridge_close_cif.y4m,sintel_trailer_2k_1080p24.y4m,1.2971879617868678
104,amp,bridge_close_cif.y4m,crowd_run_1080p50.y4m,0.8147073905174236
105,amp,bridge_far_cif.y4m,akiyo_cif.y4m,0.35929079231882943
106,amp,bridge_far_cif.y4m,bowing_cif.y4m,1.6458935371611472
107,amp,bridge_far_cif.y4m,bridge_close_cif.y4m,0.0
108,amp,bridge_far_cif.y4m,bridge_far_cif.y4m,0.0
109,amp,bridge_far_cif.y4m,bus_cif.y4m,1.4023120067464474
110,amp,bridge_far_cif.y4m,city_cif.y4m,0.6007591125347044
111,amp,bridge_far_cif.y4m,coastguard_cif.y4m,0.6457276695862778
112,amp,bridge_far_cif.y4m,container_cif.y4m,1.5741126158540206
113,amp,bridge_far_cif.y4m,crew_cif.y4m,0.9717262870136836
114,amp,bridge_far_cif.y4m,deadline_cif.y4m,0.34317964725570815
115,amp,bridge_far_cif.y4m,flower_cif.y4m,0.6040000441221693
116,amp,bridge_far_cif.y4m,football_cif.y4m,2.8233398692537612
117,amp,bridge_far_cif.y4m,foreman_cif.y4m,0.30667592832454504
118,amp,bridge_far_cif.y4m,hall_monitor_cif.y4m,0.0
119,amp,bridge_far_cif.y4m,sintel_trailer_2k_480p24.y4m,0.0
120,amp,bridge_far_cif.y4m,harbour_cif.y4m,1.276148862557486
121,amp,bridge_far_cif.y4m,highway_cif.y4m,1.072427473134362
122,amp,bridge_far_cif.y4m,husky_cif.y4m,1.2984809072970216
123,amp,bridge_far_cif.y4m,ice_cif.y4m,0.3868218833122551
124,amp,bridge_far_cif.y4m,mad900_cif.y4m,0.13735811204465684
125,amp,bridge_far_cif.y4m,mobile_cif.y4m,1.7230416959701345
126,amp,bridge_far_cif.y4m,mother_daughter_cif.y4m,1.2105324838800735
127,amp,bridge_far_cif.y4m,news_cif.y4m,0.4818917907622945
128,amp,bridge_far_cif.y4m,pamphlet_cif.y4m,0.2512768508308344
129,amp,bridge_far_cif.y4m,paris_cif.y4m,1.0215717051931967
130,amp,bridge_far_cif.y4m,sign_irene_cif.y4m,1.6531489128033958
131,amp,bridge_far_cif.y4m,silent_cif.y4m,2.006357966337495
132,amp,bridge_far_cif.y4m,soccer_cif.y4m,1.6907103511714627
133,amp,bridge_far_cif.y4m,students_cif.y4m,0.6216591048329494
134,amp,bridge_far_cif.y4m,tempete_cif.y4m,3.48025621745219
135,amp,bridge_far_cif.y4m,waterfall_cif.y4m,0.15486295737816858
136,amp,bridge_far_cif.y4m,blue_sky_1080p25.y4m,0.11964513626494289
137,amp,bridge_far_cif.y4m,old_town_cross_1080p50.y4m,0.2063389969374934
138,amp,bridge_far_cif.y4m,sintel_trailer_2k_1080p24.y4m,1.6062658571749335
139,amp,bridge_far_cif.y4m,crowd_run_1080p50.y4m,1.091076839683784
140,amp,bus_cif.y4m,akiyo_cif.y4m,0.07584260208462837
141,amp,bus_cif.y4m,bowing_cif.y4m,0.0
142,amp,bus_cif.y4m,bridge_close_cif.y4m,0.8752396277733449
143,amp,bus_cif.y4m,bridge_far_cif.y4m,1.8525280230191554
144,amp,bus_cif.y4m,bus_cif.y4m,0.0
145,amp,bus_cif.y4m,city_cif.y4m,0.030539827835541298
146,amp,bus_cif.y4m,coastguard_cif.y4m,0.033185130693660615
147,amp,bus_cif.y4m,container_cif.y4m,0.0
148,amp,bus_cif.y4m,crew_cif.y4m,0.010675326742268135
149,amp,bus_cif.y4m,deadline_cif.y4m,0.1368623264720691
150,amp,bus_cif.y4m,flower_cif.y4m,0.07864578253025858
151,amp,bus_cif.y4m,football_cif.y4m,0.3388372892951808
152,amp,bus_cif.y4m,foreman_cif.y4m,0.260637077016398
153,amp,bus_cif.y4m,hall_monitor_cif.y4m,1.3673085425431037
154,amp,bus_cif.y4m,sintel_trailer_2k_480p24.y4m,0.8034959255360242
155,amp,bus_cif.y4m,harbour_cif.y4m,0.0
156,amp,bus_cif.y4m,highway_cif.y4m,0.0
157,amp,bus_cif.y4m,husky_cif.y4m,0.0358804378070203
158,amp,bus_cif.y4m,ice_cif.y4m,0.39263342833417725
159,amp,bus_cif.y4m,mad900_cif.y4m,0.4849090311553954
160,amp,bus_cif.y4m,mobile_cif.y4m,0.0
161,amp,bus_cif.y4m,mother_daughter_cif.y4m,0.015851673605941162
162,amp,bus_cif.y4m,news_cif.y4m,0.0360913952963508
163,amp,bus_cif.y4m,pamphlet_cif.y4m,0.39069349345428034
164,amp,bus_cif.y4m,paris_cif.y4m,0.0774516009382963
165,amp,bus_cif.y4m,sign_irene_cif.y4m,0.06566921297640176
166,amp,bus_cif.y4m,silent_cif.y4m,0.0
167,amp,bus_cif.y4m,soccer_cif.y4m,0.01861573822909083
168,amp,bus_cif.y4m,students_cif.y4m,0.10699380660174734
169,amp,bus_cif.y4m,tempete_cif.y4m,0.7549904628918982
170,amp,bus_cif.y4m,waterfall_cif.y4m,0.3140298364950451
171,amp,bus_cif.y4m,blue_sky_1080p25.y4m,2.1979745750749586
172,amp,bus_cif.y4m,old_town_cross_1080p50.y4m,0.4921493107326733
173,amp,bus_cif.y4m,sintel_trailer_2k_1080p24.y4m,0.027036951296879747
174,amp,bus_cif.y4m,crowd_run_1080p50.y4m,0.05225794331413733
175,amp,city_cif.y4m,akiyo_cif.y4m,0.0
176,amp,city_cif.y4m,bowing_cif.y4m,0.3109271801668681
177,amp,city_cif.y4m,bridge_close_cif.y4m,0.4326033996952153
178,amp,city_cif.y4m,bridge_far_cif.y4m,1.2238003505930573
179,amp,city_cif.y4m,bus_cif.y4m,0.18448456638812105
180,amp,city_cif.y4m,city_cif.y4m,0.0
181,amp,city_cif.y4m,coastguard_cif.y4m,0.0016534000496655585
182,amp,city_cif.y4m,container_cif.y4m,0.20452789132634205
183,amp,city_cif.y4m,crew_cif.y4m,0.058879516443978965
184,amp,city_cif.y4m,deadline_cif.y4m,0.0
185,amp,city_cif.y4m,flower_cif.y4m,0.08727533867715187
186,amp,city_cif.y4m,football_cif.y4m,0.9267688735796381
187,amp,city_cif.y4m,foreman_cif.y4m,0.09894457318961275
188,amp,city_cif.y4m,hall_monitor_cif.y4m,0.8400956982980935
189,amp,city_cif.y4m,sintel_trailer_2k_480p24.y4m,0.3824756120965371
190,amp,city_cif.y4m,harbour_cif.y4m,0.2523718094736445
191,amp,city_cif.y4m,highway_cif.y4m,0.12427190749750376
192,amp,city_cif.y4m,husky_cif.y4m,0.15962527082047123
193,amp,city_cif.y4m,ice_cif.y4m,0.216155897171708
194,amp,city_cif.y4m,mad900_cif.y4m,0.16053921942479002
195,amp,city_cif.y4m,mobile_cif.y4m,0.34062816522627737
196,amp,city_cif.y4m,mother_daughter_cif.y4m,0.159497591953302
197,amp,city_cif.y4m,news_cif.y4m,0.0
198,amp,city_cif.y4m,pamphlet_cif.y4m,0.1506287564868344
199,amp,city_cif.y4m,paris_cif.y4m,0.23112404308750234
200,amp,city_cif.y4m,sign_irene_cif.y4m,0.30153083671159403
201,amp,city_cif.y4m,silent_cif.y4m,0.3998117305980024
202,amp,city_cif.y4m,soccer_cif.y4m,0.3351280590989397
203,amp,city_cif.y4m,students_cif.y4m,0.0688796529801346
204,amp,city_cif.y4m,tempete_cif.y4m,1.460454004716209
205,amp,city_cif.y4m,waterfall_cif.y4m,0.08056760298348115
206,amp,city_cif.y4m,blue_sky_1080p25.y4m,1.4929958026161247
207,amp,city_cif.y4m,old_town_cross_1080p50.y4m,0.20775106939901272
208,amp,city_cif.y4m,sintel_trailer_2k_1080p24.y4m,0.34008510406081466
209,amp,city_cif.y4m,crowd_run_1080p50.y4m,0.12705003182632899
210,amp,coastguard_cif.y4m,akiyo_cif.y4m,0.0030279437225371546
211,amp,coastguard_cif.y4m,bowing_cif.y4m,0.2782759551373498
212,amp,coastguard_cif.y4m,bridge_close_cif.y4m,0.44381613819172366
213,amp,coastguard_cif.y4m,bridge_far_cif.y4m,1.255401531084665
214,amp,coastguard_cif.y4m,bus_cif.y4m,0.13863438710375783
215,amp,coastguard_cif.y4m,city_cif.y4m,0.013716015652814294
216,amp,coastguard_cif.y4m,coastguard_cif.y4m,0.0
217,amp,coastguard_cif.y4m,container_cif.y4m,0.19400286998725405
218,amp,coastguard_cif.y4m,crew_cif.y4m,0.04725708902038691
219,amp,coastguard_cif.y4m,deadline_cif.y4m,0.0
220,amp,coastguard_cif.y4m,flower_cif.y4m,0.04808928865743776
221,amp,coastguard_cif.y4m,football_cif.y4m,0.783909125545518
222,amp,coastguard_cif.y4m,foreman_cif.y4m,0.14399098621213574
223,amp,coastguard_cif.y4m,hall_monitor_cif.y4m,0.821225711914822
224,amp,coastguard_cif.y4m,sintel_trailer_2k_480p24.y4m,0.39735226158154363
225,amp,coastguard_cif.y4m,harbour_cif.y4m,0.14196854162130956
226,amp,coastguard_cif.y4m,highway_cif.y4m,0.0954657036300716
227,amp,coastguard_cif.y4m,husky_cif.y4m,0.1943512181796715
228,amp,coastguard_cif.y4m,ice_cif.y4m,0.22038475709066874
