,option,env,represented_by_env,kld
0,crc64,misc.tar,misc.tar,0.0
1,crc64,misc.tar,vmlinux-5.10.tar,2.1975569418154355
2,crc64,misc.tar,enwik8.tar,0.13962065783441605
3,crc64,misc.tar,silesia.tar,0.06776714781046804
4,crc64,misc.tar,uiq2-4.bin,0.03166681657975164
5,crc64,misc.tar,large.tar,0.46758558498171776
6,crc64,misc.tar,uiq2-16.bin,0.07447549448484164
7,crc64,misc.tar,ambivert.wav.tar,0.5062548827112998
8,crc64,misc.tar,deepfield.tar,0.08555144227046749
9,crc64,misc.tar,uiq-32.bin,0.3861068471022093
10,crc64,misc.tar,uiq2-8.bin,0.21233307852023578
11,crc64,misc.tar,fannie_mae_500k.tar,0.22381041761590728
12,crc64,vmlinux-5.10.tar,misc.tar,0.8653864288972036
13,crc64,vmlinux-5.10.tar,vmlinux-5.10.tar,0.0
14,crc64,vmlinux-5.10.tar,enwik8.tar,0.6294008250408076
15,crc64,vmlinux-5.10.tar,silesia.tar,0.6966624350492392
16,crc64,vmlinux-5.10.tar,uiq2-4.bin,0.6750056129610801
17,crc64,vmlinux-5.10.tar,large.tar,0.2329857549253578
18,crc64,vmlinux-5.10.tar,uiq2-16.bin,0.8432530377912115
19,crc64,vmlinux-5.10.tar,ambivert.wav.tar,0.04147263489760488
20,crc64,vmlinux-5.10.tar,deepfield.tar,0.8194248120328922
21,crc64,vmlinux-5.10.tar,uiq-32.bin,1.9907984278554136
22,crc64,vmlinux-5.10.tar,uiq2-8.bin,0.492055978488039
23,crc64,vmlinux-5.10.tar,fannie_mae_500k.tar,1.3922208214065424
24,crc64,enwik8.tar,misc.tar,0.004495375538848231
25,crc64,enwik8.tar,vmlinux-5.10.tar,1.429492396934414
26,crc64,enwik8.tar,enwik8.tar,0.0
27,crc64,enwik8.tar,silesia.tar,0.0
28,crc64,enwik8.tar,uiq2-4.bin,0.006466471888894517
29,crc64,enwik8.tar,large.tar,0.1852934840174225
30,crc64,enwik8.tar,uiq2-16.bin,0.03042271071803582
31,crc64,enwik8.tar,ambivert.wav.tar,0.22839620708790276
32,crc64,enwik8.tar,deepfield.tar,0.03170591347597728
33,crc64,enwik8.tar,uiq-32.bin,0.4696516793295605
34,crc64,enwik8.tar,uiq2-8.bin,0.10961793771773429
35,crc64,enwik8.tar,fannie_mae_500k.tar,0.19417795375673091
36,crc64,silesia.tar,misc.tar,0.0031524114565023185
37,crc64,silesia.tar,vmlinux-5.10.tar,1.6744897483745862
38,crc64,silesia.tar,enwik8.tar,0.013319672645839796
39,crc64,silesia.tar,silesia.tar,0.0
40,crc64,silesia.tar,uiq2-4.bin,0.005762711583637388
41,crc64,silesia.tar,large.tar,0.29245582823086813
42,crc64,silesia.tar,uiq2-16.bin,0.07912718926972198
43,crc64,silesia.tar,ambivert.wav.tar,0.3627984050018533
44,crc64,silesia.tar,deepfield.tar,0.0642282852248621
45,crc64,silesia.tar,uiq-32.bin,0.44095412935281936
46,crc64,silesia.tar,uiq2-8.bin,0.11449782641220625
47,crc64,silesia.tar,fannie_mae_500k.tar,0.24271723053037966
48,crc64,uiq2-4.bin,misc.tar,0.0
49,crc64,uiq2-4.bin,vmlinux-5.10.tar,1.7871070809604555
50,crc64,uiq2-4.bin,enwik8.tar,0.09690058944822913
51,crc64,uiq2-4.bin,silesia.tar,0.03221587972008436
52,crc64,uiq2-4.bin,uiq2-4.bin,0.0
53,crc64,uiq2-4.bin,large.tar,0.32462339289419645
54,crc64,uiq2-4.bin,uiq2-16.bin,0.013116709695611108
55,crc64,uiq2-4.bin,ambivert.wav.tar,0.34102662451689153
56,crc64,uiq2-4.bin,deepfield.tar,0.049683386599905975
57,crc64,uiq2-4.bin,uiq-32.bin,0.40766044928870826
58,crc64,uiq2-4.bin,uiq2-8.bin,0.1025417632921331
59,crc64,uiq2-4.bin,fannie_mae_500k.tar,0.18252484131362032
60,crc64,large.tar,misc.tar,0.020871075711401964
61,crc64,large.tar,vmlinux-5.10.tar,0.7007184619424373
62,crc64,large.tar,enwik8.tar,0.0
63,crc64,large.tar,silesia.tar,0.0
64,crc64,large.tar,uiq2-4.bin,0.0
65,crc64,large.tar,large.tar,0.0
66,crc64,large.tar,uiq2-16.bin,0.023640800596819646
67,crc64,large.tar,ambivert.wav.tar,0.016474719499354827
68,crc64,large.tar,deepfield.tar,0.03991015234095697
69,crc64,large.tar,uiq-32.bin,0.5899100574503839
70,crc64,large.tar,uiq2-8.bin,0.0
71,crc64,large.tar,fannie_mae_500k.tar,0.30689678506161167
72,crc64,uiq2-16.bin,misc.tar,0.0
73,crc64,uiq2-16.bin,vmlinux-5.10.tar,1.7424647866686727
74,crc64,uiq2-16.bin,enwik8.tar,0.04267443036940005
75,crc64,uiq2-16.bin,silesia.tar,0.0
76,crc64,uiq2-16.bin,uiq2-4.bin,0.0
77,crc64,uiq2-16.bin,large.tar,0.26609722731137064
