,Unnamed: 0,Step,Selected Workload,Number of Represented Workload-Expcific Influences,Information Loss Within Remaining Influences,Information Loss,Information Loss Reduction,Unfinished Options,Unrepresented Envs,Expected Information Loss Remaining Per Option Per Env,Relative Number of Represented Workload-Expcific Influences,newStep
0,0,0,No workloads,,Infinity,Infinity,,13,12,,,-1
1,1,1,QF_BV_bench_935.smt2,109,252.2993398928795,256.4736244209001,,13,11,5.368071061550627,0.0582264957264957,0
2,2,2,QF_NRA_hong_9.smt2,19,139.4846321951117,140.63740598705235,112.8147076977678,5,10,6.167427912132088,0.0101495726495726,1
3,3,3,QF_RDL_orb08_888.smt2,11,76.14003731143995,77.8505412515992,63.34459488367173,4,8,6.656411432101865,0.0058760683760683,2
4,4,4,QF_UFLIA_xs_23_43.smt2,3,50.82336687913951,52.29131565657403,25.31667043230044,4,7,6.819893897810025,0.0016025641025641,3
5,5,5,QF_AUFBV_891_sqlite3.smt2,2,35.85507620583299,36.66705778951909,14.968290673306528,4,6,6.790936538319404,0.001068376068376,4
6,6,6,QF_LIA_tightrhombus,2,25.021006460757427,25.58006141465558,10.83406974507556,4,5,6.66837446678107,0.001068376068376,5
7,7,7,LRA_formula_277.smt2,3,14.44838597061334,15.41416525926622,10.572620490144088,4,4,7.03790921516603,0.0016025641025641,6
8,8,8,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,3,7.374383016688151,8.340162305341035,7.074002953925188,3,2,6.8387818516528815,0.0016025641025641,7
9,9,9,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,2,1.9453532031126968,2.504408157010852,5.429029813575454,2,1,4.667106240910677,0.001068376068376,8
10,10,10,AUFNIRA_z3.637557.smt2,2,0,0.5590549538981547,1.9453532031126968,0,0,0,0.001068376068376,9
